time;open;high;low;close
2023-07-29;29315.4;29392.4;29261.9;29360.4
2023-07-30;29360.5;29440.4;29054.8;29277.7
2023-07-31;29277.8;29500.0;29123.9;29227.6
2023-08-01;29227.6;29695.2;28760.0;29695.2
2023-08-02;29694.9;30000.0;28932.9;29152.3
2023-08-03;29152.3;29395.8;28960.0;29187.2
2023-08-04;29187.2;29305.2;28800.0;29072.9
2023-08-05;29073.0;29099.9;28955.7;29047.1
2023-08-06;29047.2;29153.8;28952.1;29036.9
2023-08-07;29037.0;29225.0;28628.9;29179.0
2023-08-08;29179.0;30190.0;29113.7;29766.6
2023-08-09;29766.6;30099.2;29372.8;29570.8
2023-08-10;29570.9;29694.4;29329.0;29429.0
2023-08-11;29429.0;29534.0;29208.1;29399.0
2023-08-12;29399.0;29455.6;29353.9;29412.4
2023-08-13;29412.5;29440.1;29260.0;29285.1
2023-08-14;29285.1;29657.8;29100.0;29418.4
2023-08-15;29418.5;29450.0;29075.0;29165.4
2023-08-16;29165.4;29219.9;28695.3;28698.5
2023-08-17;28699.3;28748.0;24800.0;26636.6
2023-08-18;26633.1;26820.0;25607.1;26046.6
2023-08-19;26046.5;26250.0;25800.1;26083.2
2023-08-20;26083.2;26275.3;25995.7;26188.5
2023-08-21;26188.5;26225.0;25807.3;26123.4
2023-08-22;26123.4;26123.4;25359.9;26040.4
2023-08-23;26040.5;26779.4;25803.4;26417.4
2023-08-24;26417.5;26562.0;25875.7;26160.0
2023-08-25;26160.0;26281.5;25778.0;26049.8
2023-08-26;26049.9;26098.3;25984.9;26002.4
2023-08-27;26002.4;26165.9;25966.6;26087.4
2023-08-28;26087.4;26230.9;25860.2;26109.6
2023-08-29;26109.6;28150.0;25927.2;27731.7
2023-08-30;27731.7;27757.3;27005.2;27305.4
2023-08-31;27305.4;27605.5;25663.0;25936.2
2023-09-01;25936.3;26127.0;25333.3;25808.3
2023-09-02;25808.3;25973.8;25754.1;25869.7
2023-09-03;25869.7;26119.0;25820.1;25969.4
2023-09-04;25969.4;26079.2;25630.8;25806.3
2023-09-05;25806.3;25868.8;25580.5;25788.7
2023-09-06;25788.8;26000.0;25385.2;25763.8
2023-09-07;25763.7;26487.7;25609.0;26236.4
2023-09-08;26236.5;26414.0;25650.0;25905.2
2023-09-09;25905.3;25919.2;25803.7;25891.3
2023-09-10;25891.3;26040.7;25582.5;25830.0
2023-09-11;25830.0;25875.0;24925.0;25163.4
2023-09-12;25163.4;26528.9;25140.1;25832.4
2023-09-13;25832.4;27212.0;25780.0;26231.1
2023-09-14;26231.2;26833.0;26154.6;26535.5
2023-09-15;26535.5;26887.7;26220.9;26610.0
2023-09-16;26610.1;26756.8;26480.5;26568.5
2023-09-17;26568.4;26603.2;26412.0;26539.8
2023-09-18;26539.9;27468.1;26405.7;26758.3
2023-09-19;26758.3;27494.5;26691.2;27228.6
2023-09-20;27228.6;27397.8;26826.7;27135.1
2023-09-21;27135.1;27150.0;26358.2;26567.6
2023-09-22;26567.6;26716.9;26490.0;26583.8
2023-09-23;26583.8;26630.0;26500.0;26580.8
2023-09-24;26580.8;26711.0;26157.0;26252.3
2023-09-25;26252.4;26420.0;26000.0;26289.8
2023-09-26;26289.8;26393.2;26094.3;26214.9
2023-09-27;26214.9;26818.2;26100.1;26359.9
2023-09-28;26359.9;27312.9;26329.9;27026.8
2023-09-29;27027.3;27225.7;26692.0;26920.1
2023-09-30;26920.1;27096.0;26888.3;26972.9
2023-10-01;26972.1;28087.9;26965.7;27981.1
2023-10-02;27981.1;28572.5;27298.0;27500.9
2023-10-03;27500.9;27658.2;27189.0;27428.2
2023-10-04;27428.2;27826.3;27229.8;27800.0
2023-10-05;27800.0;28116.4;27366.1;27413.8
2023-10-06;27413.8;28284.9;27185.1;27947.8
2023-10-07;27947.8;28028.7;27865.7;27973.4
2023-10-08;27973.4;28107.2;27740.1;27934.7
2023-10-09;27934.7;27996.8;27275.0;27586.1
2023-10-10;27586.1;27713.6;27300.0;27397.3
2023-10-11;27397.3;27468.9;26551.0;26868.2
2023-10-12;26868.2;26925.0;26560.0;26760.9
2023-10-13;26760.9;27137.0;26675.0;26867.9
2023-10-14;26867.9;26976.5;26820.0;26857.3
2023-10-15;26857.3;27292.1;26820.1;27170.1
2023-10-16;27170.1;30000.0;27119.9;28516.8
2023-10-17;28516.8;28606.3;28100.0;28415.8
2023-10-18;28415.8;28980.6;28170.0;28335.1
2023-10-19;28335.1;28900.0;28150.5;28726.9
2023-10-20;28727.0;30215.0;28600.1;29680.9
2023-10-21;29680.9;30343.3;29483.5;29920.2
2023-10-22;29920.2;30220.7;29694.1;29987.3
2023-10-23;29987.3;34800.0;29914.0;33084.4
2023-10-24;33084.4;35225.0;32880.1;33922.4
2023-10-25;33921.6;35140.3;33706.1;34489.9
2023-10-26;34489.9;34825.0;33717.2;34155.2
2023-10-27;34155.2;34239.7;33318.6;33915.1
2023-10-28;33915.1;34463.7;33852.8;34092.1
2023-10-29;34092.0;34758.5;33960.1;34529.5
2023-10-30;34529.5;34953.4;34100.1;34508.1
2023-10-31;34508.1;34719.9;34060.1;34655.2
2023-11-01;34653.9;35612.5;34120.0;35441.7
2023-11-02;35441.7;35945.0;34350.0;34927.7
2023-11-03;34927.8;34927.8;34133.0;34741.2
2023-11-04;34741.2;35257.9;34614.4;35090.3
2023-11-05;35091.1;35382.1;34520.1;35050.0
2023-11-06;35050.1;35267.1;34767.3;35028.6
2023-11-07;35028.6;35900.1;34560.0;35449.0
2023-11-08;35449.1;36094.0;35100.0;35626.4
2023-11-09;35626.4;37971.0;35517.3;36694.0
2023-11-10;36702.5;37500.0;36340.1;37311.7
2023-11-11;37311.7;37411.7;36658.0;37139.8
2023-11-12;37139.9;37227.6;36727.3;37053.9
2023-11-13;37053.9;37423.0;36371.0;36494.1
2023-11-14;36494.1;36750.1;34666.0;35544.4
2023-11-15;35544.4;37950.0;35361.7;37896.7
2023-11-16;37896.7;37950.0;35517.2;36159.1
2023-11-17;36159.1;36888.0;35851.2;36625.0
2023-11-18;36625.0;36850.0;36222.0;36586.1
2023-11-19;36586.1;37531.9;36416.4;37373.9
2023-11-20;37383.9;37777.0;36715.0;37480.5
2023-11-21;37480.5;37655.8;35777.1;35777.1
2023-11-22;35777.1;37848.0;35645.0;37428.1
2023-11-23;37428.1;37624.0;36874.7;37300.9
2023-11-24;37300.9;38432.9;37277.2;37710.4
2023-11-25;37716.2;37900.0;37614.0;37800.2
2023-11-26;37800.2;37810.0;37151.1;37469.9
2023-11-27;37469.9;37565.6;36720.0;37254.1
2023-11-28;37254.1;38390.7;36901.0;37832.7
2023-11-29;37832.7;38419.0;37604.9;37870.0
2023-11-30;37870.0;38148.9;37501.0;37717.7
2023-12-01;37719.0;38924.4;37629.7;38690.0
2023-12-02;38690.0;39700.0;38657.1;39477.1
2023-12-03;39477.1;40117.2;39299.0;39975.1
2023-12-04;39975.1;42415.5;39476.0;41984.7
2023-12-05;41983.0;44465.0;41427.1;44080.8
2023-12-06;44080.8;44277.2;43335.5;43761.7
2023-12-07;43761.7;44041.4;42885.0;43291.7
2023-12-08;43288.1;44699.0;43120.1;44179.5
2023-12-09;44179.6;44368.9;43606.0;43709.6
2023-12-10;43709.7;44040.1;43587.6;43788.0
2023-12-11;43788.0;43808.4;39999.0;41236.8
2023-12-12;41236.9;42300.0;40662.4;41469.9
2023-12-13;41470.0;43421.5;40606.6;42889.1
2023-12-14;42889.1;43380.1;41359.0;43016.1
2023-12-15;43016.1;43090.9;41697.5;41943.3
2023-12-16;41943.3;42664.2;41648.8;42278.03
2023-12-17;42278.02;42424.07;41252.0;41374.65
2023-12-18;41374.64;42709.4;40515.9;42646.1
2023-12-19;42644.7;43422.7;41820.0;42267.0
2023-12-20;42267.1;44300.0;42231.2;43630.0
2023-12-21;43630.0;44236.9;43329.6;43869.3
2023-12-22;43869.4;44429.4;43450.1;43997.0
2023-12-23;43997.0;43999.0;43314.0;43750.1
2023-12-24;43750.1;43933.1;42680.0;43014.9
2023-12-25;43014.9;43777.9;42765.0;43604.1
2023-12-26;43604.1;43604.1;41637.1;42519.1
2023-12-27;42519.1;43650.0;42150.2;43468.1
2023-12-28;43467.2;43792.3;42307.2;42616.4
2023-12-29;42616.4;43135.8;41300.6;42097.9
2023-12-30;42097.9;42577.2;41551.8;42150.0
2023-12-31;42150.1;42874.4;41991.1;42241.1
2024-01-01;42241.1;44187.5;42215.7;44180.8
2024-01-02;44180.8;45913.4;44113.2;44972.0
2024-01-03;44975.4;45509.3;39501.0;42849.5
2024-01-04;42849.5;44784.9;42682.0;44211.9
2024-01-05;44210.0;44365.0;42480.0;44179.9
2024-01-06;44179.9;44241.8;43451.0;43960.0
2024-01-07;43960.0;44483.9;43648.1;43915.9
2024-01-08;43915.9;47306.6;43208.5;46989.4
2024-01-09;46989.5;47988.0;44500.0;46128.7
2024-01-10;46128.7;47699.6;44331.8;46664.8
2024-01-11;46678.1;49000.0;45619.1;46350.4
