datetime;open;high;low;close
2016-03-03 0:00;422.4;424.47;415.85;420.29
2016-03-04 0:00;420.29;423.9;406.02;408.01
2016-03-05 0:00;408.18;408.98;382;399.83
2016-03-06 0:00;399.83;412.31;393.11;406.23
2016-03-07 0:00;406.15;414.96;403.03;414.01
2016-03-08 0:00;413.96;414.99;408.46;411.75
2016-03-09 0:00;412.14;413.51;408.75;413
2016-03-10 0:00;412.99;416.9;409.31;416
2016-03-11 0:00;416;421.91;415.11;419.13
2016-03-12 0:00;419.14;420.93;406.59;410.9
2016-03-13 0:00;409.95;417;409.67;413.04
2016-03-14 0:00;412.99;415.22;410.5;414.99
2016-03-15 0:00;414.83;417.43;412.15;415.85
2016-03-16 0:00;415.84;416.82;413.15;416.57
2016-03-17 0:00;416.52;419;415.66;418.49
2016-03-18 0:00;418.47;418.49;403.34;407.91
2016-03-19 0:00;407.5;409.95;404.1;409.04
2016-03-20 0:00;408.36;412;406.6;411.28
2016-03-21 0:00;410.62;411.96;406.5;411.67
2016-03-22 0:00;411.66;416.99;410.35;416.64
2016-03-23 0:00;416.39;419;413.44;417.62
2016-03-24 0:00;417.62;418.15;412.85;415.17
2016-03-25 0:00;415.17;416.92;412;415.7
2016-03-26 0:00;415.6;416.99;414;416.96
2016-03-27 0:00;416.96;427.99;415.77;424.77
2016-03-28 0:00;424.62;424.77;420.32;422.87
2016-03-29 0:00;422.87;424.37;407.22;415.95
2016-03-30 0:00;415.43;415.93;408.59;413.74
2016-03-31 0:00;413.68;416.99;411.4;414.66
2016-04-01 0:00;414.66;416.99;413.42;416.31
2016-04-02 0:00;416.31;420;416.01;419
2016-04-03 0:00;419.35;419.48;416.1;419.11
2016-04-04 0:00;418.51;419.85;416;418.75
2016-04-05 0:00;418.81;423;416.61;422.71
2016-04-06 0:00;422.71;422.9;420;421.03
2016-04-07 0:00;421.03;421.99;418.09;420
2016-04-08 0:00;419.99;423.99;416.26;417.75
2016-04-09 0:00;417.75;418.71;412;418.24
2016-04-10 0:00;418.59;421.79;417.2;420.04
2016-04-11 0:00;420.4;422.8;418;422.69
2016-04-12 0:00;422.79;426.67;421;425.54
2016-04-13 0:00;425.32;426;422.27;423.93
2016-04-14 0:00;423.6;425.35;420.57;424.86
2016-04-15 0:00;424.4;430;423.07;429.45
2016-04-16 0:00;428.85;432.87;381.47;430.69
2016-04-17 0:00;430.18;430.91;377.87;427.42
2016-04-18 0:00;427.15;430.01;425.8;428.14
2016-04-19 0:00;428.14;436.82;426.24;435.63
2016-04-20 0:00;435.7;444;433.11;442.13
2016-04-21 0:00;441.99;452.11;440;451
2016-04-22 0:00;451;451.36;442.96;447.7
2016-04-23 0:00;447.16;452.19;444.46;451.92
2016-04-24 0:00;451.92;470.02;447.06;460.02
2016-04-25 0:00;460.03;469.47;455.13;462.33
2016-04-26 0:00;462.29;469.87;462.13;467.42
2016-04-27 0:00;467.39;469.03;443.2;445.38
2016-04-28 0:00;445.39;451;435;449.14
2016-04-29 0:00;449.94;456.53;445.62;456.53
2016-04-30 0:00;456.53;456.9;446.5;448.37
2016-05-01 0:00;448.4;453.78;446.84;453
2016-05-02 0:00;453;453.8;438.59;444.06
2016-05-03 0:00;444.06;452;440.78;450.61
2016-05-04 0:00;451.18;451.68;444.15;446.63
2016-05-05 0:00;447.36;450;445.11;448.5
2016-05-06 0:00;448.5;463.97;447.03;458.48
2016-05-07 0:00;458.98;461;455.95;458.07
2016-05-08 0:00;458.97;459.69;455.95;458.21
2016-05-09 0:00;457.75;464.79;455.62;460.82
2016-05-10 0:00;461.49;463;447.38;451.62
2016-05-11 0:00;450.88;457.99;450.32;452.91
2016-05-12 0:00;452.95;455.25;448.88;455.2
2016-05-13 0:00;455.2;456.82;452.04;455.91
2016-05-14 0:00;456.42;457.25;453.51;455.57
2016-05-15 0:00;455.57;458.08;454.72;457.56
2016-05-16 0:00;457.56;458;451.11;454
