published_at,sentiment_mean_BTC,sentiment_mean_MACRO,sentiment_mean_TECH,sentiment_count_BTC,sentiment_count_MACRO,sentiment_count_TECH,sentiment_std_BTC,sentiment_std_MACRO,sentiment_std_TECH,sentiment_total,total_count,sentiment_mean_BTC_roll_mean,sentiment_mean_BTC_roll_std,sentiment_mean_MACRO_roll_mean,sentiment_mean_MACRO_roll_std,sentiment_mean_TECH_roll_mean,sentiment_mean_TECH_roll_std,sentiment_total_roll_mean,sentiment_total_roll_std,sentiment_mean_BTC_lag1,sentiment_mean_MACRO_lag1,sentiment_mean_TECH_lag1,sentiment_total_lag1,sentiment_mean_BTC_shock,sentiment_mean_MACRO_shock,sentiment_mean_TECH_shock,sentiment_total_shock,div_btc_macro
2022-02-26 00:00:00+00:00,-0.1853169458866119,0.0,0.0,2.0,0.0,0.0,0.31449794477186693,0.0,0.0,-0.1853169458866119,2,0.22695509403306388,0.2617526343187041,0.0,0.0,0.0,0.0,0.22695509403306388,0.2617526343187041,0.4965232643604278,0.0,0.0,0.4965232643604278,0,0,0,0,-0.1853169458866119
2022-02-26 04:00:00+00:00,0.0006648779233297356,0.0,0.0,3.0,0.0,0.0,0.5756659604344644,0.0,0.0,0.0006648779233297356,3,0.15056235620706854,0.2332009275209683,0.0,0.0,0.0,0.0,0.15056235620706854,0.2332009275209683,-0.1853169458866119,0.0,0.0,-0.1853169458866119,0,0,0,0,0.0006648779233297356
2022-02-26 08:00:00+00:00,0.27378019287586214,0.0,0.0,2.0,0.0,0.0,0.07429323647730035,0.0,0.0,0.27378019287586214,2,0.1638871017667609,0.23781615757110672,0.0,0.0,0.0,0.0,0.1638871017667609,0.23781615757110672,0.0006648779233297356,0.0,0.0,0.0006648779233297356,0,0,0,0,0.27378019287586214
2022-02-26 12:00:00+00:00,0.5792784479737282,0.0,0.0,4.0,0.0,0.0,0.1389351025372105,0.0,0.0,0.5792784479737282,4,0.19698316402805283,0.280020545652182,0.0,0.0,0.0,0.0,0.19698316402805283,0.280020545652182,0.27378019287586214,0.0,0.0,0.27378019287586214,0,0,0,0,0.5792784479737282
2022-02-26 16:00:00+00:00,0.22456267072359717,0.0,0.0,6.0,0.0,0.0,0.483281044525273,0.0,0.0,0.22456267072359717,6,0.19693846840808368,0.28001537650899894,0.0,0.0,0.0,0.0,0.19693846840808368,0.28001537650899894,0.5792784479737282,0.0,0.0,0.5792784479737282,0,0,0,0,0.22456267072359717
2022-02-26 20:00:00+00:00,0.6162012500667572,0.0,0.0,5.0,0.0,0.0,0.17726699080143407,0.0,0.0,0.6162012500667572,5,0.28652767971958426,0.3018948144062908,0.0,0.0,0.0,0.0,0.28652767971958426,0.3018948144062908,0.22456267072359717,0.0,0.0,0.22456267072359717,0,0,0,0,0.6162012500667572
2022-02-27 00:00:00+00:00,-0.4741516709327698,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4741516709327698,1,0.1478598318205561,0.39723553014260415,0.0,0.0,0.0,0.0,0.1478598318205561,0.39723553014260415,0.6162012500667572,0.0,0.0,0.6162012500667572,0,0,0,0,-0.4741516709327698
2022-02-27 04:00:00+00:00,0.07926851398150127,0.0,0.0,6.0,0.0,0.0,0.6464128162586547,0.0,0.0,0.07926851398150127,6,0.18565775465885798,0.3720379956692124,0.0,0.0,0.0,0.0,0.18565775465885798,0.3720379956692124,-0.4741516709327698,0.0,0.0,-0.4741516709327698,0,0,0,0,0.07926851398150127
2022-02-27 08:00:00+00:00,0.5317383261680603,0.0,0.0,3.0,0.0,0.0,0.22954408983967828,0.0,0.0,0.5317383261680603,3,0.2615253901223909,0.3820409515760595,0.0,0.0,0.0,0.0,0.2615253901223909,0.3820409515760595,0.07926851398150127,0.0,0.0,0.07926851398150127,0,0,0,0,0.5317383261680603
2022-02-27 12:00:00+00:00,0.32825544676780705,0.0,0.0,2.0,0.0,0.0,0.06168297219887752,0.0,0.0,0.32825544676780705,2,0.2693075692498116,0.38288608318324074,0.0,0.0,0.0,0.0,0.2693075692498116,0.38288608318324074,0.5317383261680603,0.0,0.0,0.5317383261680603,0,0,0,0,0.32825544676780705
